Scenario,Product,Product_Name,ProductID,Status
Scenario 1,Item,,32445,Success
Scenario 1,Item,," 32701",Success
Scenario 2,Item,," 32701",FAILED. Error at Row No:1 Sheet New Store
Scenario 3,Item,," 32701",FAILED. Error at Row No:2 Sheet New Store
Scenario 4,Item,," 32701",FAILED. Error at Row No:3 Sheet New Store
Scenario 5,Item,," 32701",FAILED. Error at Row No:4 Sheet New Store
Scenario 6,Category,,20079,Not Found
Scenario 7,Category,,20079,Success
Scenario 7,Category,," 20078",Success
Scenario 7,Category,," 20081",Success
Scenario 8,Category,,20021,Success
Scenario 8,Category,," 20038",Success
Scenario 8,Category,," 20053",Success
Scenario 8,Category,,20035,Success
Scenario 8,Category,," 20052",Success
Scenario 8,Category,," 20069",Success
Scenario 8,Category,," 20080",Success
Scenario 8,Category,," 20060",Success
Scenario 9,Category,," 20060",FAILED. Error at Row No:8 Sheet New Store
Scenario 10,Item,," 20060",FAILED. Error at Row No:9 Sheet New Store
Scenario 11,Modifier,,40946,Success
Scenario 11,Modifier,," 40947",Success
Scenario 11,Modifier,," 42079",Success
Scenario 11,Modifier,," 141099",Success
Scenario 11,Modifier,," 141101",Success
