Scenario,Restaurant,Product,Product_Name,ProductID,Entity Found,Submit Status,MissingChannels
New Store 1,St Clair,Item,,32445,YES,Success. Completed :  2. Lookup Found: YES,
New Store 1,St Clair,Item,," 32701",YES,Success. Completed :  2. Lookup Found: YES,
New Store 2,St Clair,Item,,32980,YES,Success. Completed :  2. Lookup Found: YES,
New Store 2,St Clair,Item,," 33211",YES,Success. Completed :  2. Lookup Found: YES,
New Store 3,St Clair,Item,,33238,YES,Success. Completed :  2. Lookup Found: YES,
New Store 4,St Clair,Item,,31005,YES,Success. Completed :  2. Lookup Found: YES,
New Store 4,St Clair,Item,," 30995",YES,Success. Completed :  2. Lookup Found: YES,
New Store 5,St Clair,Item,,32903,YES,Success. Completed :  2. Lookup Found: YES,
New Store 5,St Clair,Item,," 32902",YES,Success. Completed :  2. Lookup Found: YES,
New Store 6,St Clair,Category,,20079,YES,Success. Completed :  1. Lookup Found: YES,
New Store 7,St Clair,Category,,20079,YES,Success. Completed :  2. Lookup Found: YES,
New Store 7,St Clair,Category,," 20078",YES,Success. Completed :  2. Lookup Found: YES,
New Store 7,St Clair,Category,," 20081",YES,Success. Completed :  2. Lookup Found: YES,
New Store 8,St Clair,Category,,20021,YES,Success. Completed :  3. Lookup Found: YES,
New Store 8,St Clair,Category,," 20038",YES,Success. Completed :  3. Lookup Found: YES,
New Store 8,St Clair,Category,," 20053",YES,Success. Completed :  3. Lookup Found: YES,
New Store 8,St Clair,Category,,20035,YES,Success. Completed :  3. Lookup Found: YES,
New Store 8,St Clair,Category,," 20052",YES,Success. Completed :  3. Lookup Found: YES,
New Store 8,St Clair,Category,," 20069",YES,Success. Completed :  3. Lookup Found: YES,
New Store 8,St Clair,Category,," 20080",YES,Success. Completed :  3. Lookup Found: YES,
New Store 8,St Clair,Category,," 20060",YES,Success. Completed :  3. Lookup Found: YES,
New Store 9,St Clair,Category,,20079,YES,Success. Completed :  5. Lookup Found: YES,
New Store 9,St Clair,Category,," 20078",YES,Success. Completed :  5. Lookup Found: YES,
New Store 9,St Clair,Category,," 20081",YES,Success. Completed :  5. Lookup Found: YES,
New Store 10,St Clair,Item,,30966,YES,Success. Completed :  5. Lookup Found: YES,
New Store 10,St Clair,Item,," 32390",YES,Success. Completed :  5. Lookup Found: YES,
New Store 10,St Clair,Item,," 32558",YES,Success. Completed :  5. Lookup Found: YES,
New Store 10,St Clair,Item,," 32563",YES,Success. Completed :  5. Lookup Found: YES,
New Store 10,St Clair,Item,," 32597",YES,Success. Completed :  5. Lookup Found: YES,
New Store 10,St Clair,Item,," 32598",YES,Success. Completed :  5. Lookup Found: YES,
New Store 10,St Clair,Item,," 30050",YES,Success. Completed :  5. Lookup Found: YES,
New Store 10,St Clair,Item,," 30094",YES,Success. Completed :  5. Lookup Found: YES,
New Store 10,St Clair,Item,," 31507",YES,Success. Completed :  5. Lookup Found: YES,
New Store 10,St Clair,Item,," 31506",YES,Success. Completed :  5. Lookup Found: YES,
New Store 10,St Clair,Item,," 31508",YES,Success. Completed :  5. Lookup Found: YES,
New Store 11,St Clair,Modifier,,40946,YES,Success. Completed :  5. Lookup Found: YES,
New Store 11,St Clair,Modifier,," 40947",YES,Success. Completed :  5. Lookup Found: YES,
New Store 11,St Clair,Modifier,," 42079",YES,Success. Completed :  5. Lookup Found: YES,
New Store 11,St Clair,Modifier,," 141099",YES,Success. Completed :  5. Lookup Found: YES,
New Store 11,St Clair,Modifier,," 141101",YES,Success. Completed :  5. Lookup Found: YES,
New Store 12,St Clair,Category,,20080,YES,Success. Completed :  2. Lookup Found: YES,
